timestamp,ECG_CH1
1763969124.171239,-382141
1763969124.185243,-381921
1763969124.185243,-382773
1763969124.200073,-381441
1763969124.2023807,-382579
1763969124.2672832,-382632
1763969124.2672832,-382372
1763969124.2693188,-382522
1763969124.272187,-381007
1763969124.2791767,-382599
1763969124.2848706,-381751
1763969124.2889018,-380530
1763969124.2899384,-381737
1763969124.2914486,-380660
1763969124.2924623,-382201
1763969124.2951212,-381819
1763969124.2968833,-381133
1763969124.3125985,-382278
1763969124.3135972,-382080
1763969124.32648,-381487
1763969124.3277984,-381720
1763969124.333727,-380318
1763969124.3413622,-382013
1763969124.3514414,-381678
1763969124.3570986,-381172
1763969124.3634465,-382119
1763969124.383685,-381099
1763969124.389714,-382331
1763969124.394969,-382444
1763969124.3967028,-381479
1763969124.417761,-382480
1763969124.4194868,-380942
1763969124.4204946,-382611
1763969124.4335296,-382447
1763969124.4357271,-381801
1763969124.4624817,-382795
1763969124.4634838,-381860
1763969124.4659057,-383206
1763969124.4669166,-382969
1763969124.4993424,-382080
1763969124.5015452,-382905
1763969124.5015452,-381819
1763969124.5214818,-379717
1763969124.523386,-379084
1763969124.5266767,-378470
1763969124.528544,-381086
1763969124.5358405,-382962
1763969124.5426762,-382909
1763969124.5664246,-384854
1763969124.5686443,-383432
1763969124.5702953,-385047
1763969124.5751867,-385060
1763969124.5758576,-384378
1763969124.5836616,-385237
1763969124.5910265,-384402
1763969124.6145325,-387261
1763969124.6163182,-383834
1763969124.6171052,-373832
1763969124.6297307,-357496
1763969124.6322773,-337707
1763969124.6463583,-336494
1763969124.6469276,-346141
1763969124.6716173,-377927
1763969124.673428,-388650
1763969124.6761646,-386618
1763969124.6814861,-384866
1763969124.6899433,-384151
1763969124.7012289,-382084
1763969124.7020996,-383119
1763969124.7145603,-383105
1763969124.7163763,-382195
1763969124.758615,-382427
1763969124.7593133,-381321
1763969124.7613466,-381756
1763969124.7613466,-381041
1763969124.7639794,-380660
1763969124.7699397,-381129
1763969124.772692,-378974
1763969124.7927744,-379054
1763969124.7927744,-378691
1763969124.7927744,-377689
1763969124.832449,-378032
1763969124.832449,-377125
1763969124.832449,-375822
1763969124.832449,-375866
1763969124.8616714,-373875
1763969124.8651185,-374189
1763969124.895421,-374049
1763969124.896371,-373096
1763969124.8983798,-373438
1763969124.9212863,-372372
1763969124.9221737,-374184
1763969124.9256809,-375309
1763969124.926687,-376037
1763969124.931307,-378631
1763969124.9330997,-378571
1763969124.9356556,-380714
1763969124.938615,-381391
1763969124.939919,-381407
1763969124.951547,-382480
1763969124.951547,-381409
1763969124.9655561,-381969
1763969124.9672313,-382139
1763969124.992376,-380509
1763969124.992376,-381959
1763969124.992376,-381649
1763969125.0044897,-380307
1763969125.0054975,-380881
1763969125.0258048,-379229
1763969125.031491,-380110
1763969125.0369072,-379784
1763969125.0394535,-379161
1763969125.0445924,-379971
1763969125.0622683,-378426
1763969125.0632784,-379464
1763969125.0783222,-379198
1763969125.0793118,-379174
1763969125.0928235,-380164
1763969125.0954237,-378676
1763969125.1326752,-380007
1763969125.1326752,-380177
1763969125.1326752,-380274
